Date,Balance,Price,% Change_in_Balance,Balance_Diff,Value_Dollars,Change_in_Value
06/08,20.0,0.09721,,,1.061,
06/08,20.0,0.10499000000000001,,0.0,1.061,0.0
06/08,20.0,0.10009,,0.0,1.061,0.0
06/08,20.0,0.09854,,0.0,1.061,0.0
06/08,20.0,0.09802,,0.0,1.061,0.0
06/08,20.0,0.09667,,0.0,1.061,0.0
06/08,20.0,0.09605,,0.0,1.061,0.0
06/08,20.0,0.09725,,0.0,1.061,0.0
07/08,20.0,0.09846,,0.0,1.061,0.0
07/08,20.0,0.09957,,0.0,1.061,0.0
07/08,20.0,0.09935,,0.0,1.061,0.0
07/08,20.0,0.1001,,0.0,1.061,0.0
07/08,20.0,0.10212,0.0,0.0,1.061,0.0
07/08,20.0,0.09997,0.0,0.0,1.061,0.0
07/08,20.0,0.10167,0.0,0.0,1.061,0.0
07/08,20.0,0.10019,0.0,0.0,1.061,0.0
07/08,20.0,0.10012,0.0,0.0,1.061,0.0
07/08,20.0,0.10132000000000001,0.0,0.0,1.061,0.0
07/08,20.0,0.10192,0.0,0.0,1.061,0.0
07/08,20.0,0.10157000000000001,0.0,0.0,1.061,0.0
07/08,20.0,0.10129,0.0,0.0,1.061,0.0
07/08,20.0,0.10102,0.0,0.0,1.061,0.0
07/08,20.0,0.10102,0.0,0.0,1.061,0.0
07/08,20.0,0.10101,0.0,0.0,1.061,0.0
07/08,20.0,0.10105,0.0,0.0,1.061,0.0
07/08,20.0,0.10105,0.0,0.0,1.061,0.0
07/08,20.0,0.10105,0.0,0.0,1.061,0.0
07/08,20.0,0.10117999999999999,0.0,0.0,1.061,0.0
07/08,20.0,0.10118,0.0,0.0,1.061,0.0
07/08,20.0,0.10134,0.0,0.0,1.061,0.0
07/08,20.0,0.10144,0.0,0.0,1.061,0.0
07/08,20.0,0.10144,0.0,0.0,1.061,0.0
07/08,20.0,0.10144,0.0,0.0,1.061,0.0
07/08,20.0,0.10051,0.0,0.0,1.061,0.0
07/08,20.0,0.09894,0.0,0.0,1.061,0.0
07/08,20.0,0.09747,0.0,0.0,1.061,0.0
07/08,20.0,0.09579,0.0,0.0,1.061,0.0
07/08,20.0,0.09547,0.0,0.0,1.061,0.0
07/08,20.0,0.09547,0.0,0.0,1.061,0.0
07/08,20.0,0.09551,0.0,0.0,1.061,0.0
07/08,20.0,0.09551,0.0,0.0,1.061,0.0
07/08,20.0,0.09567,0.0,0.0,1.061,0.0
07/08,20.0,0.09663,0.0,0.0,1.061,0.0
07/08,20.0,0.09663,0.0,0.0,1.061,0.0
07/08,20.0,0.09796,0.0,0.0,1.061,0.0
07/08,20.0,0.09806000000000001,0.0,0.0,1.061,0.0
07/08,20.0,0.10396,0.0,0.0,1.061,0.0
07/08,20.0,0.10396,0.0,0.0,1.061,0.0
07/08,20.0,0.10144,0.0,0.0,1.061,0.0
07/08,20.0,0.10103999999999999,0.0,0.0,1.061,0.0
07/08,20.0,0.10493,0.0,0.0,1.061,0.0
07/08,20.0,0.05463,0.0,0.0,1.061,0.0
07/08,20.0,0.0547,0.0,0.0,1.061,0.0
07/08,20.0,0.05432000000000002,0.0,0.0,1.061,0.0
07/08,20.0,0.05441,0.0,0.0,1.061,0.0
07/08,20.0,0.05414,0.0,0.0,1.061,0.0
07/08,20.0,0.05408,0.0,0.0,1.061,0.0
08/08,20.0,0.05537,0.0,0.0,1.061,0.0
08/08,20.0,0.05432000000000002,0.0,0.0,1.061,0.0
08/08,20.0,0.05269,0.0,0.0,1.061,0.0
08/08,20.0,0.05355,0.0,0.0,1.061,0.0
08/08,20.0,0.0536,0.0,0.0,1.061,0.0
08/08,20.0,0.05322,0.0,0.0,1.061,0.0
08/08,20.0,0.05376,0.0,0.0,1.061,0.0
08/08,20.0,0.05416,0.0,0.0,1.061,0.0
08/08,20.0,0.054689999999999996,0.0,0.0,1.061,0.0
08/08,20.0,0.05428,0.0,0.0,1.061,0.0
08/08,20.0,0.054279999999999995,0.0,0.0,1.061,0.0
08/08,20.0,0.05432000000000002,0.0,0.0,1.061,0.0
08/08,20.0,0.05366,0.0,0.0,1.061,0.0
