Date,Balance,Price,% Change_in_Balance,Balance_Diff,Value_Dollars,Change_in_Value
06/08,32.80246731,0.77,,,30.5062945983,
06/08,32.80246731,0.74,,0.0,30.5062945983,0.0
06/08,32.80246731,0.76,,0.0,30.5062945983,0.0
06/08,32.80246731,0.75,,0.0,30.5062945983,0.0
06/08,32.80246731,0.75,,0.0,30.5062945983,0.0
06/08,32.80246731,0.75,,0.0,30.5062945983,0.0
06/08,32.80246731,0.74,,0.0,30.5062945983,0.0
06/08,32.80246731,0.75,,0.0,30.5062945983,0.0
07/08,32.80246731,0.76,,0.0,30.5062945983,0.0
07/08,32.80246731,0.75,,0.0,30.5062945983,0.0
07/08,32.80246731,0.75,,0.0,30.5062945983,0.0
07/08,32.80246731,0.74,,0.0,30.5062945983,0.0
07/08,32.80246731,0.75,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.75,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.77,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.78,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.76,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.78,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.79,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.78,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.78,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.78,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.78,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.78,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.77,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.77,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.76,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.77,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.77,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.78,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.78,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.78,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.78,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.79,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.79,0.0,0.0,30.5062945983,0.0
07/08,32.80246731,0.77,0.0,0.0,30.5062945983,0.0
07/08,43.81991642,0.78,33.58725734219779,11.017449110000001,40.752522270600004,8.5936103058
07/08,43.81991642,0.78,33.58725734219779,0.0,40.752522270600004,0.0
07/08,43.81991642,0.78,33.58725734219779,0.0,40.752522270600004,0.0
07/08,43.81991642,0.78,33.58725734219779,0.0,40.752522270600004,0.0
07/08,43.81991642,0.78,33.58725734219779,0.0,40.752522270600004,0.0
07/08,43.81991642,0.78,33.58725734219779,0.0,40.752522270600004,0.0
07/08,43.81991642,0.79,33.58725734219779,0.0,40.752522270600004,0.0
07/08,43.81991642,0.79,33.58725734219779,0.0,40.752522270600004,0.0
07/08,43.81991642,0.78,33.58725734219779,0.0,40.752522270600004,0.0
07/08,43.81991642,0.78,33.58725734219779,0.0,40.752522270600004,0.0
07/08,43.81991642,0.77,33.58725734219779,0.0,40.752522270600004,0.0
07/08,43.81991642,0.78,33.58725734219779,0.0,40.752522270600004,0.0
07/08,43.81991642,0.81,0.0,0.0,40.752522270600004,0.0
07/08,43.81991642,0.8,0.0,0.0,40.752522270600004,0.0
07/08,43.81991642,0.87,0.0,0.0,40.752522270600004,0.0
07/08,43.81991642,0.88,0.0,0.0,40.752522270600004,0.0
07/08,43.81991642,0.88,0.0,0.0,40.752522270600004,0.0
07/08,43.81991642,0.89,0.0,0.0,40.752522270600004,0.0
07/08,43.81991642,0.92,0.0,0.0,40.752522270600004,0.0
07/08,43.81991642,0.86,0.0,0.0,40.752522270600004,0.0
07/08,43.81991642,0.9,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.88,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.86,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.86,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.87,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.87,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.87,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.87,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.87,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.87,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.86,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.86,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.9,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.9,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.88,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.89,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.91,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.92,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.93,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.96,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.93,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.93,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.91,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.92,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.91,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.91,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.93,0.0,0.0,40.752522270600004,0.0
08/08,43.81991642,0.93,0.0,0.0,40.752522270600004,0.0
