Date,Balance,Price,% Change_in_Balance,Balance_Diff,Value_Dollars,Value_Pounds,Change_in_Value
04/07,2.0,0.0,,,0.0,0.0,
04/07,2.0,0.0,,0.0,0.0,0.0,0.0
04/07,2.0,0.0,,0.0,0.0,0.0,0.0
04/07,2.0,0.0,,0.0,0.0,0.0,0.0
04/07,2.0,0.0,,0.0,0.0,0.0,0.0
04/07,2.0,0.0,,0.0,0.0,0.0,0.0
04/07,2.0,0.0,,0.0,0.0,0.0,0.0
04/07,2.0,0.0,,0.0,0.0,0.0,0.0
05/07,2.0,0.0,,0.0,0.0,0.0,0.0
05/07,2.0,0.0,,0.0,0.0,0.0,0.0
05/07,2.0,0.0,,0.0,0.0,0.0,0.0
05/07,2.0,0.0,,0.0,0.0,0.0,0.0
05/07,2.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,2.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,100.0,2.0,0.0,0.0,0.0
05/07,4.0,0.0,100.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,100.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,100.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,100.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,100.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,100.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,100.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,100.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,100.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,100.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,100.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
05/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07,4.0,0.0,0.0,0.0,0.0,0.0,0.0
