Date,Balance,Price,% Change_in_Balance,Balance_Diff,Value_Dollars,Change_in_Value
06/08,34.0,0.02399,,,0.5032,
06/08,34.0,0.025910000000000002,,0.0,0.5032,0.0
06/08,34.0,0.02598,,0.0,0.5032,0.0
06/08,34.0,0.025580000000000002,,0.0,0.5032,0.0
06/08,34.0,0.02544,,0.0,0.5032,0.0
06/08,34.0,0.02509,,0.0,0.5032,0.0
06/08,34.0,0.02493,,0.0,0.5032,0.0
06/08,34.0,0.025240000000000002,,0.0,0.5032,0.0
07/08,34.0,0.02556,,0.0,0.5032,0.0
07/08,34.0,0.02585,,0.0,0.5032,0.0
07/08,34.0,0.02579,,0.0,0.5032,0.0
07/08,34.0,0.02598,,0.0,0.5032,0.0
07/08,34.0,0.02651,0.0,0.0,0.5032,0.0
07/08,34.0,0.02595,0.0,0.0,0.5032,0.0
07/08,34.0,0.02639,0.0,0.0,0.5032,0.0
07/08,34.0,0.026010000000000002,0.0,0.0,0.5032,0.0
07/08,34.0,0.02599,0.0,0.0,0.5032,0.0
07/08,34.0,0.0263,0.0,0.0,0.5032,0.0
07/08,34.0,0.02645,0.0,0.0,0.5032,0.0
07/08,34.0,0.02636,0.0,0.0,0.5032,0.0
07/08,34.0,0.02629,0.0,0.0,0.5032,0.0
07/08,34.0,0.02622,0.0,0.0,0.5032,0.0
07/08,34.0,0.02622,0.0,0.0,0.5032,0.0
07/08,34.0,0.02622,0.0,0.0,0.5032,0.0
07/08,34.0,0.02623,0.0,0.0,0.5032,0.0
07/08,34.0,0.02623,0.0,0.0,0.5032,0.0
07/08,34.0,0.02623,0.0,0.0,0.5032,0.0
07/08,34.0,0.026260000000000002,0.0,0.0,0.5032,0.0
07/08,34.0,0.02626,0.0,0.0,0.5032,0.0
07/08,34.0,0.026310000000000004,0.0,0.0,0.5032,0.0
07/08,34.0,0.026330000000000003,0.0,0.0,0.5032,0.0
07/08,34.0,0.026330000000000003,0.0,0.0,0.5032,0.0
07/08,34.0,0.026330000000000003,0.0,0.0,0.5032,0.0
07/08,34.0,0.02609,0.0,0.0,0.5032,0.0
07/08,34.0,0.02568,0.0,0.0,0.5032,0.0
07/08,34.0,0.0253,0.0,0.0,0.5032,0.0
07/08,34.0,0.05097,0.0,0.0,0.5032,0.0
07/08,34.0,0.05081,0.0,0.0,0.5032,0.0
07/08,34.0,0.05081,0.0,0.0,0.5032,0.0
07/08,34.0,0.05083,0.0,0.0,0.5032,0.0
07/08,28.0,0.05083,-17.647058823529417,-6.0,0.4144,-0.30498000000000003
07/08,28.0,0.050910000000000004,-17.647058823529417,0.0,0.4144,0.0
07/08,28.0,0.05142000000000002,-17.647058823529417,0.0,0.4144,0.0
07/08,28.0,0.05142000000000002,-17.647058823529417,0.0,0.4144,0.0
07/08,28.0,0.05213,-17.647058823529417,0.0,0.4144,0.0
07/08,28.0,0.05219,-17.647058823529417,0.0,0.4144,0.0
07/08,28.0,0.05042,-17.647058823529417,0.0,0.4144,0.0
07/08,28.0,0.05042,-17.647058823529417,0.0,0.4144,0.0
07/08,28.0,0.04919,-17.647058823529417,0.0,0.4144,0.0
07/08,28.0,0.049,-17.647058823529417,0.0,0.4144,0.0
07/08,28.0,0.05089,-17.647058823529417,0.0,0.4144,0.0
07/08,28.0,0.02795,-17.647058823529417,0.0,0.4144,0.0
07/08,28.0,0.02799,0.0,0.0,0.4144,0.0
07/08,28.0,0.02779,0.0,0.0,0.4144,0.0
07/08,28.0,0.02784,0.0,0.0,0.4144,0.0
07/08,28.0,0.0277,0.0,0.0,0.4144,0.0
07/08,28.0,0.02767,0.0,0.0,0.4144,0.0
08/08,28.0,0.02833,0.0,0.0,0.4144,0.0
08/08,28.0,0.02779,0.0,0.0,0.4144,0.0
08/08,28.0,0.02696,0.0,0.0,0.4144,0.0
08/08,28.0,0.0274,0.0,0.0,0.4144,0.0
08/08,28.0,0.02742,0.0,0.0,0.4144,0.0
08/08,28.0,0.02699,0.0,0.0,0.4144,0.0
08/08,30.0,0.02727,7.14285714285714,2.0,0.444,0.05454
08/08,30.0,0.02747,7.14285714285714,0.0,0.444,0.0
08/08,30.0,0.027739999999999997,7.14285714285714,0.0,0.444,0.0
08/08,30.0,0.02753,7.14285714285714,0.0,0.444,0.0
08/08,30.0,0.027530000000000002,7.14285714285714,0.0,0.444,0.0
08/08,30.0,0.02755,7.14285714285714,0.0,0.444,0.0
08/08,32.0,0.027219999999999998,14.28571428571428,2.0,0.4736,0.054439999999999995
08/08,32.0,0.02707,14.28571428571428,0.0,0.4736,0.0
08/08,32.0,0.0275,14.28571428571428,0.0,0.4736,0.0
08/08,32.0,0.02739,14.28571428571428,0.0,0.4736,0.0
08/08,32.0,0.0267,14.28571428571428,0.0,0.4736,0.0
08/08,32.0,0.02642,14.28571428571428,0.0,0.4736,0.0
08/08,32.0,0.026369999999999998,6.666666666666665,0.0,0.4736,0.0
08/08,32.0,0.02588,6.666666666666665,0.0,0.4736,0.0
08/08,32.0,0.014980000000000004,6.666666666666665,0.0,0.4736,0.0
08/08,32.0,0.01492,6.666666666666665,0.0,0.4736,0.0
08/08,32.0,0.01492,6.666666666666665,0.0,0.4736,0.0
08/08,32.0,0.01466,6.666666666666665,0.0,0.4736,0.0
08/08,32.0,0.01466,0.0,0.0,0.4736,0.0
08/08,32.0,0.01481,0.0,0.0,0.4736,0.0
08/08,32.0,0.0148,0.0,0.0,0.4736,0.0
