Date,Balance
2021-07-04 23:04:09.523757,52.9
2021-07-04 23:07:32.551862,52.88
2021-07-04 23:26:40.283140,52.93
2021-07-04 23:30:55.376402,52.81
2021-07-04 23:32:40.958701,52.82
2021-07-04 23:39:54.398930,52.81
2021-07-04 23:41:00.799032,52.9
2021-07-04 23:44:07.115609,52.86
2021-07-04 23:52:17.959952,52.85
2021-07-04 23:54:28.789769,52.84
2021-07-05 00:00:46.415538,52.95
2021-07-05 00:15:36.675162,52.14
2021-07-05 00:28:33.334673,51.83
2021-07-05 00:30:32.335232,52.0
2021-07-05 02:28:13.072391,51.91
2021-07-05 05:58:12.651448,52.94
2021-07-05 08:16:11.574712,53.52
2021-07-05 08:16:13.932038,53.52
2021-07-05 08:50:58.840289,53.7
2021-07-05 09:20:57.770879,53.99
2021-07-05 10:11:00.335239,53.88
2021-07-05 10:20:57.725007,54.0
2021-07-05 11:10:57.611354,54.32
2021-07-05 12:00:59.518527,52.4
2021-07-05 16:59:53.293989,54.01
2021-07-05 17:32:00.514610,53.95
2021-07-05 18:01:58.879187,54.44
2021-07-05 18:11:58.536518,55.19
2021-07-05 18:26:02.463187,55.34
2021-07-05 18:42:04.384898,55.36
2021-07-05 18:55:28.730520,55.26
2021-07-05 18:55:58.111399,55.29
2021-07-05 19:11:59.716088,55.28
