Date,Balance,Price,% Change_in_Balance,Balance_Diff,Value_Dollars,Change_in_Value
19/07,20.0,0.15,,,1.1288,
19/07,20.0,0.15,,0.0,1.1288,0.0
19/07,20.0,0.15,,0.0,1.1288,0.0
19/07,20.0,0.15,,0.0,1.1288,0.0
19/07,20.13636363636364,0.15,,0.13636363636364024,1.1364963636363639,0.020454545454546034
19/07,20.272727272727273,0.15,,0.13636363636363313,1.1441927272727273,0.02045454545454497
19/07,20.40909090909091,0.15,,0.1363636363636367,1.1518890909090909,0.020454545454545503
19/07,20.545454545454547,0.15,,0.1363636363636367,1.1595854545454545,0.020454545454545503
19/07,20.681818181818183,0.15,,0.1363636363636367,1.1672818181818183,0.020454545454545503
20/07,20.818181818181817,0.15,,0.13636363636363313,1.1749781818181817,0.02045454545454497
20/07,20.954545454545453,0.15,,0.1363636363636367,1.1826745454545453,0.020454545454545503
20/07,21.09090909090909,0.15,,0.1363636363636367,1.190370909090909,0.020454545454545503
20/07,21.227272727272727,0.15,6.136363636363629,0.1363636363636367,1.1980672727272725,0.020454545454545503
20/07,21.363636363636363,0.15,6.818181818181812,0.1363636363636367,1.2057636363636364,0.020454545454545503
20/07,21.5,0.15,7.499999999999996,0.1363636363636367,1.21346,0.020454545454545503
20/07,21.63636363636364,0.15,8.181818181818201,0.13636363636364024,1.2211563636363638,0.020454545454546034
20/07,21.772727272727273,0.15,8.126410835214436,0.13636363636363313,1.2288527272727272,0.02045454545454497
20/07,21.90909090909091,0.15,8.071748878923767,0.1363636363636367,1.2365490909090908,0.020454545454545503
20/07,22.045454545454547,0.15,8.01781737193763,0.1363636363636367,1.2442454545454547,0.020454545454545503
20/07,22.18181818181818,0.15,7.964601769911495,0.13636363636363313,1.251941818181818,0.02045454545454497
20/07,22.318181818181817,0.15,7.912087912087906,0.1363636363636367,1.2596381818181817,0.020454545454545503
20/07,22.454545454545453,0.15,7.860262008733621,0.1363636363636367,1.2673345454545453,0.020454545454545503
20/07,22.59090909090909,0.15,7.80911062906724,0.1363636363636367,1.2750309090909089,0.020454545454545503
20/07,22.72727272727273,0.15,7.758620689655182,0.13636363636364024,1.2827272727272727,0.020454545454546034
20/07,22.863636363636363,0.15,7.70877944325481,0.13636363636363313,1.2904236363636363,0.02045454545454497
20/07,23.0,0.15,7.659574468085117,0.1363636363636367,1.29812,0.020454545454545503
20/07,23.13636363636364,0.15,7.610993657505305,0.13636363636364024,1.3058163636363638,0.020454545454546034
20/07,23.272727272727273,0.15,7.563025210084007,0.13636363636363313,1.3135127272727272,0.02045454545454497
20/07,23.40909090909091,0.15,7.51565762004176,0.1363636363636367,1.321209090909091,0.020454545454545503
20/07,23.54545454545455,0.15,7.46887966804981,0.13636363636364024,1.3289054545454548,0.020454545454546034
20/07,23.68181818181818,0.15,7.42268041237113,0.13636363636362958,1.336601818181818,0.020454545454544438
20/07,23.818181818181817,0.15,7.377049180327866,0.1363636363636367,1.3442981818181816,0.020454545454545503
20/07,23.95454545454545,0.15,7.33197556008145,0.13636363636363313,1.351994545454545,0.02045454545454497
20/07,24.09090909090909,0.15,7.287449392712553,0.13636363636364024,1.359690909090909,0.020454545454546034
20/07,24.22727272727273,0.15,7.24346076458755,0.13636363636364024,1.367387272727273,0.020454545454546034
20/07,24.363636363636363,0.15,7.199999999999984,0.13636363636363313,1.3750836363636363,0.02045454545454497
20/07,24.5,0.15,7.157057654075549,0.1363636363636367,1.38278,0.020454545454545503
20/07,24.63636363636364,0.15,7.114624505928879,0.13636363636364024,1.3904763636363637,0.020454545454546034
20/07,24.772727272727273,0.15,7.072691552062849,0.13636363636363313,1.3981727272727273,0.02045454545454497
20/07,24.90909090909091,0.15,7.03125,0.1363636363636367,1.405869090909091,0.020454545454545503
20/07,25.04545454545455,0.15,6.990291262135928,0.13636363636364024,1.4135654545454548,0.020454545454546034
20/07,25.18181818181818,0.15,6.949806949806914,0.13636363636362958,1.421261818181818,0.020454545454544438
20/07,25.318181818181817,0.15,6.909788867562372,0.1363636363636367,1.4289581818181816,0.020454545454545503
20/07,25.45454545454545,0.15,6.870229007633566,0.13636363636363313,1.4366545454545452,0.02045454545454497
20/07,25.59090909090909,0.15,6.831119544592057,0.13636363636364024,1.444350909090909,0.020454545454546034
20/07,25.72727272727273,0.15,6.7924528301887,0.13636363636364024,1.4520472727272729,0.020454545454546034
20/07,25.863636363636363,0.15,6.7542213883677205,0.13636363636363313,1.4597436363636362,0.02045454545454497
20/07,26.0,0.15,6.7164179104477695,0.1363636363636367,1.4674399999999999,0.020454545454545503
20/07,26.0,0.15,6.1224489795918435,0.0,1.4674399999999999,0.0
20/07,26.0,0.15,5.535055350553497,0.0,1.4674399999999999,0.0
20/07,26.0,0.15,4.954128440366978,0.0,1.4674399999999999,0.0
20/07,26.0,0.15,4.379562043795615,0.0,1.4674399999999999,0.0
20/07,26.04878048780488,0.15,4.006020096498597,0.04878048780487987,1.4701931707317073,0.00731707317073198
20/07,26.09756097560976,0.15,3.6365237298582542,0.04878048780487987,1.4729463414634147,0.00731707317073198
20/07,26.146341463414632,0.15,3.271007575425844,0.04878048780487276,1.4756995121951217,0.007317073170730914
20/07,26.195121951219512,0.15,2.909407665505248,0.04878048780487987,1.4784526829268292,0.00731707317073198
20/07,26.243902439024392,0.15,2.5516613958324497,0.04878048780487987,1.4812058536585366,0.00731707317073198
21/07,26.292682926829272,0.15,2.197707489442391,0.04878048780487987,1.483959024390244,0.00731707317073198
21/07,26.34146341463415,0.15,1.8474859616786077,0.048780487804876316,1.4867121951219513,0.007317073170731447
21/07,26.390243902439018,0.15,1.5009380863039157,0.04878048780486921,1.489465365853658,0.0073170731707303815
21/07,26.439024390243894,0.15,1.6885553470918913,0.048780487804876316,1.4922185365853653,0.007317073170731447
21/07,26.48780487804878,0.15,1.8761726078799335,0.048780487804886974,1.4949717073170732,0.007317073170733046
21/07,26.536585365853657,0.15,2.063789868667909,0.048780487804876316,1.4977248780487804,0.007317073170731447
21/07,26.585365853658534,0.15,2.251407129455907,0.048780487804876316,1.5004780487804876,0.007317073170731447
21/07,26.63414634146341,0.15,2.2471910112359383,0.048780487804876316,1.5032312195121948,0.007317073170731447
21/07,26.68292682926829,0.15,2.24299065420559,0.04878048780487987,1.5059843902439023,0.00731707317073198
21/07,26.731707317073173,0.15,2.2388059701492713,0.04878048780488342,1.5087375609756097,0.007317073170732513
21/07,26.78048780487805,0.15,2.2346368715083775,0.048780487804876316,1.511490731707317,0.007317073170731447
21/07,26.82926829268293,0.15,2.230483271375472,0.04878048780487987,1.5142439024390244,0.00731707317073198
21/07,26.87804878048781,0.15,2.226345083487935,0.04878048780487987,1.5169970731707318,0.00731707317073198
21/07,26.92682926829268,0.15,2.222222222222192,0.04878048780486921,1.5197502439024386,0.0073170731707303815
21/07,26.97560975609756,0.15,2.2181146025878062,0.04878048780487987,1.522503414634146,0.00731707317073198
21/07,27.02439024390244,0.15,2.214022140221439,0.04878048780488342,1.5252565853658537,0.007317073170732513
21/07,27.07317073170732,0.15,2.209944751381232,0.04878048780487987,1.5280097560975612,0.00731707317073198
21/07,27.121951219512194,0.15,2.2058823529411686,0.04878048780487276,1.5307629268292682,0.007317073170730914
21/07,27.170731707317074,0.15,2.2018348623853434,0.04878048780487987,1.5335160975609756,0.00731707317073198
21/07,27.21951219512195,0.15,2.197802197802212,0.048780487804876316,1.5362692682926828,0.007317073170731447
21/07,27.268292682926827,0.15,2.1937842778793515,0.048780487804876316,1.53902243902439,0.007317073170731447
21/07,27.31707317073171,0.15,2.1897810218978186,0.04878048780488342,1.5417756097560977,0.007317073170732513
21/07,27.36585365853659,0.15,2.1857923497268006,0.04878048780487987,1.5445287804878052,0.00731707317073198
21/07,27.414634146341466,0.15,2.1818181818181737,0.048780487804876316,1.5472819512195124,0.007317073170731447
21/07,27.463414634146343,0.15,2.177858439201441,0.048780487804876316,1.5500351219512194,0.007317073170731447
21/07,27.51219512195122,0.15,2.1739130434782705,0.048780487804876316,1.5527882926829266,0.007317073170731447
21/07,27.560975609756106,0.15,2.1699819168174095,0.048780487804886974,1.5555414634146345,0.007317073170733046
