Date,Balance,Price,% Change_in_Balance,Balance_Diff,Value_Dollars,Change_in_Value
08/08,8.0,0.11669000000000004,,,0.82496,
08/08,8.0,0.11669000000000004,,0.0,0.82496,0.0
08/08,8.0,0.11678,,0.0,0.82496,0.0
08/08,8.0,0.17449,,0.0,0.82496,0.0
08/08,8.0,0.17355,,0.0,0.82496,0.0
08/08,10.0,0.17631,,2.0,1.0312000000000001,0.35262
08/08,10.0,0.17558,,0.0,1.0312000000000001,0.0
08/08,10.0,0.11315,,0.0,1.0312000000000001,0.0
08/08,10.0,0.1082,,0.0,1.0312000000000001,0.0
08/08,10.0,0.10802,,0.0,1.0312000000000001,0.0
08/08,10.0,0.10599,,0.0,1.0312000000000001,0.0
08/08,10.0,0.10436,,0.0,1.0312000000000001,0.0
08/08,10.0,0.10394,25.0,0.0,1.0312000000000001,0.0
08/08,10.0,0.10394,25.0,0.0,1.0312000000000001,0.0
08/08,10.0,0.10214,25.0,0.0,1.0312000000000001,0.0
08/08,10.0,0.10212,25.0,0.0,1.0312000000000001,0.0
08/08,10.0,0.10319,25.0,0.0,1.0312000000000001,0.0
08/08,10.0,0.10312,0.0,0.0,1.0312000000000001,0.0
